Gmt time,Open,High,Low,Close,Volume,EMA,EMASignal,isPivot,pointpos,pattern_detected,pointBreak
07.09.2022 19:00:00.000,258.277,258.397,258.146,258.386,1.6872,257.31941583317814,0,0,,0,0
07.09.2022 19:05:00.000,258.396,258.667,258.216,258.657,1.5804,257.42230692293367,0,0,,0,0
07.09.2022 19:10:00.000,258.657,258.687,258.366,258.546,1.2516,257.5087448519388,0,0,,0,0
07.09.2022 19:15:00.000,258.516,258.807,258.316,258.437,1.68,257.58014909409735,0,1,260.807,0,0
07.09.2022 19:20:00.000,258.406,258.577,258.166,258.497,1.6164,257.6506760868591,0,0,,0,0
07.09.2022 19:25:00.000,258.506,258.697,258.456,258.607,1.404,257.724239464793,0,0,,0,0
07.09.2022 19:30:00.000,258.577,258.697,258.287,258.597,1.7232,257.7913748905782,0,0,,0,0
07.09.2022 19:35:00.000,258.596,258.717,258.536,258.716,1.5648,257.8624998989953,0,0,,0,0
07.09.2022 19:40:00.000,258.676,258.796,258.376,258.457,1.4676,257.90823067599564,0,0,,0,0
07.09.2022 19:45:00.000,258.446,258.806,258.396,258.667,1.7315999999999998,257.9665975470729,0,0,,0,0
07.09.2022 19:50:00.000,258.677,258.706,258.316,258.486,2.1216,258.00655158191347,0,0,,0,0
07.09.2022 19:55:00.000,258.486,258.487,257.877,257.907,2.0544,257.99889376792015,0,0,,0,0
08.09.2022 13:30:00.000,256.186,256.826,255.496,255.806,3.1776,257.8302096319263,0,2,253.496,0,0
08.09.2022 13:35:00.000,255.737,256.367,255.496,256.016,2.7252,257.6906550448551,0,2,253.496,0,0
08.09.2022 13:40:00.000,256.076,257.647,255.576,257.547,2.994,257.6796046567893,0,0,,0,0
08.09.2022 13:45:00.000,257.516,258.447,257.326,257.796,3.2448,257.6885581447286,0,0,,0,0
08.09.2022 13:50:00.000,257.847,257.877,257.336,257.647,2.6832,257.68536136436484,0,0,,0,0
08.09.2022 13:55:00.000,257.647,258.107,257.486,257.846,2.6208,257.69771818249063,0,0,,0,0
08.09.2022 14:00:00.000,257.836,258.037,256.416,256.677,2.6508000000000003,257.61920139922216,0,0,,0,0
08.09.2022 14:05:00.000,256.676,257.457,256.616,257.126,2.5620000000000003,257.58126283005123,0,0,,0,0
08.09.2022 14:10:00.000,257.127,257.437,256.496,256.866,2.6424,257.52624261235496,0,0,,0,0
08.09.2022 14:15:00.000,256.866,257.947,256.356,257.867,2.9796000000000005,257.5524547190969,0,0,,0,0
08.09.2022 14:20:00.000,257.866,258.326,257.326,257.507,2.2596,257.5489582022433,0,0,,0,0
08.09.2022 14:25:00.000,257.506,257.977,257.356,257.917,2.076,257.57726910976305,0,0,,0,0
08.09.2022 14:30:00.000,257.907,258.277,257.626,258.137,2.4708,257.620325332089,0,0,,0,0
08.09.2022 14:35:00.000,258.167,258.917,257.917,258.687,2.4024,257.70237722962065,0,0,,0,0
08.09.2022 14:40:00.000,258.686,258.906,258.296,258.826,2.1024,257.7888097504191,0,0,,0,0
08.09.2022 14:45:00.000,258.827,259.077,258.576,258.687,2.1684,257.85790130807914,0,0,,0,0
08.09.2022 14:50:00.000,258.676,258.857,258.446,258.706,1.968,257.9231396689961,0,0,,0,0
08.09.2022 14:55:00.000,258.707,259.686,258.566,259.667,2.0688,258.05728277138104,0,0,,0,0
08.09.2022 15:00:00.000,259.667,260.026,259.576,259.736,1.9044,258.1864148658902,0,0,,0,0
08.09.2022 15:05:00.000,259.736,260.357,259.696,260.357,1.3776,258.3533829531294,0,0,,0,0
08.09.2022 15:10:00.000,260.336,260.407,259.976,260.286,1.7616,258.50204580288874,0,1,262.407,0,0
08.09.2022 15:15:00.000,260.287,260.307,260.026,260.186,1.836,258.63158074112806,0,0,,0,0
08.09.2022 15:20:00.000,260.186,260.307,260.006,260.096,1.9704,258.74422837642595,0,0,,0,0
08.09.2022 15:25:00.000,260.086,260.327,259.856,259.907,1.8936,258.8336723474701,0,0,,0,0
08.09.2022 15:30:00.000,259.916,260.047,259.796,259.937,1.8084,258.918543705357,0,0,,0,0
08.09.2022 15:35:00.000,259.906,260.087,259.146,259.216,1.872,258.9414249587911,0,0,,0,0
08.09.2022 15:40:00.000,259.196,259.437,258.807,259.397,1.8264,258.9764691927303,0,0,,0,0
08.09.2022 15:45:00.000,259.357,259.536,258.896,258.906,1.5696,258.9710484855972,0,0,,0,0
08.09.2022 15:50:00.000,258.907,259.226,258.726,259.226,1.6356000000000002,258.99066014055126,0,0,,0,0
08.09.2022 15:55:00.000,259.216,259.246,258.816,258.826,1.7808,258.97799397589347,0,0,,0,0
08.09.2022 16:00:00.000,258.837,258.987,257.246,257.247,2.8572,258.84484059313246,0,0,,0,0
08.09.2022 16:05:00.000,257.246,257.347,255.936,256.126,3.0204,258.63569900904537,0,0,,0,0
08.09.2022 16:10:00.000,256.086,256.167,255.337,255.667,2.9988,258.4073375468111,0,0,,0,0
08.09.2022 16:15:00.000,255.666,255.917,255.086,255.296,2.754,258.1680038893641,0,0,,0,0
08.09.2022 16:20:00.000,255.296,255.497,254.766,255.316,2.532,257.9486189747976,0,2,252.766,0,0
08.09.2022 16:25:00.000,255.257,255.737,255.096,255.626,2.2728,257.7699559767363,0,0,,0,0
08.09.2022 16:30:00.000,255.616,255.956,255.436,255.636,2.2176,257.6058055169874,0,0,,0,0
08.09.2022 16:35:00.000,255.636,256.027,255.626,255.776,2.1264,257.46505124644995,0,0,,0,0
08.09.2022 16:40:00.000,255.776,256.407,255.596,256.377,2.1444,257.381354996723,0,0,,0,0
08.09.2022 16:45:00.000,256.347,256.396,255.996,256.097,1.8696,257.28255845851356,0,0,,0,0
08.09.2022 16:50:00.000,256.086,256.617,255.996,256.356,2.0436,257.21128473093563,0,0,,0,0
08.09.2022 16:55:00.000,256.357,256.606,256.216,256.256,1.8516,257.13780129009444,0,0,,0,0
08.09.2022 17:00:00.000,256.267,256.407,255.437,255.636,2.0988,257.02227811393334,0,0,,0,0
08.09.2022 17:05:00.000,255.637,255.997,255.506,255.966,1.908,256.9410259513231,0,0,,0,0
08.09.2022 17:10:00.000,255.957,257.327,255.936,257.237,2.6208,256.9637931858367,0,0,,0,0
